mjd,val
60619.00000599,33203709.0558729
60619.00001757,33203728.5952425
60619.00002915,33203745.926281
60619.00004073,33203722.6744518
60619.00005231,33203704.6251536
60619.00006389,33203769.149909
60619.00007546,33203729.9300623
60619.00008704,33203721.7869377
60619.00009862,33203723.6012916
60619.0001102,33203740.740882
60619.00012178,33203727.9351644
60619.00013335,33203729.6148329
60619.00014494,33203748.6873169
60619.00015652,33203720.8591461
60619.00016809,33203739.5962486
60619.00017967,33203730.1866827
60619.00019125,33203751.5747853
60619.00020282,33203722.1814842
60619.0002144,33203738.6880979
60619.00022599,33203742.6091271
60619.00023756,33203725.4870634
60619.00024914,33203729.2784872
60619.00026072,33203737.720644
60619.0002723,33203716.9773245
60619.00028388,33203729.491415
60619.00029545,33203724.3964529
60619.00030703,33203745.8864985
60619.00031861,33203732.1113891
60619.00033019,33203705.5542898
60619.00034177,33203722.5447207
60619.00035334,33203733.7561293
60619.00036493,33203732.8178901
60619.00037651,33203723.2019215
60619.00038808,33203742.8217993
60619.00039966,33203734.7577905
60619.00041124,33203718.4621067
60619.00042281,33203735.9387122
60619.0004344,33203733.4845905
60619.00044598,33203741.4450092
60619.00045755,33203733.716672
60619.00046914,33203734.742526
60619.00048072,33203743.7220869
60619.00049229,33203733.1314602
60619.00050387,33203740.4829884
60619.00051545,33203733.8724031
60619.00052703,33203744.7622099
60619.0005386,33203738.62323
60619.00055019,33203714.7411051
60619.00056176,33203754.3807001
60619.00057334,33203702.5518608
60619.00058492,33203733.4670391
60619.0005965,33203703.8617477
60619.00060807,33203739.0110655
60619.00061966,33203725.8891821
60619.00063124,33203727.3296509
60619.00064281,33203701.1693916
60619.00065439,33203729.3985939
60619.00066597,33203715.816267
60619.00067755,33203747.6822529
60619.00068913,33203705.2415934
60619.00070071,33203746.4138202
60619.00071229,33203740.300541
60619.00072386,33203716.5137806
60619.00073544,33203721.9362459
60619.00074702,33203727.9173231
60619.00075859,33203709.7989616
60619.00077017,33203746.2295657
60619.00078175,33203715.4685993
60619.00079333,33203715.0616998
60619.00080491,33203723.4592963
60619.00081649,33203728.7317562
60619.00082807,33203731.9168329
60619.00083965,33203743.8501902
60619.00085122,33203732.0079145
60619.0008628,33203725.3676367
60619.00087438,33203737.0781689
60619.00088596,33203735.3383045
60619.00089754,33203742.8895797
60619.0009092,33203710.6955481
60619.0009207,33203738.5176563
60619.00093227,33203762.5782318
60619.00094385,33203728.9328452
60619.00095543,33203720.0736208
60619.00096701,33203729.4694719
60619.00097858,33203733.1788721
60619.00099016,33203735.749033
60619.00100174,33203732.0259494
60619.00101332,33203741.8123198
60619.0010249,33203713.0102892
60619.00103648,33203743.9124918
60619.00104805,33203737.5873289
60619.00105964,33203742.6512966
